""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"43253"	2004	"cand113624"	"VAN YAHRES, MITCHELL"	0.5170062268483	0.439286906365859	"VA"	100	-1.391	-0.958667703373565	"VA-100"	43471.43
"43256"	2002	"cand113642"	"MORAN, BRIAN J"	0.209756375227687	0.573770491803279	"VA"	100	-0.873	-0.808733947236094	"VA-100"	70272
"43257"	2004	"cand113642"	"MORAN, BRIAN J"	0.247083951809816	0.70922905643665	"VA"	100	-0.873	-0.808733947236094	"VA-100"	128184.61
"43258"	2006	"cand113642"	"MORAN, BRIAN J"	0.283703084919403	0.641186596261133	"VA"	100	-0.873	-0.808733947236094	"VA-100"	271488.13
"43259"	2008	"cand113642"	"MORAN, BRIAN J"	0.408938217820046	0.561555466300955	"VA"	100	-0.873	-0.808733947236094	"VA-100"	768612.73
"43260"	2002	"cand113646"	"MCQUIGG, MICHELE B"	0.127529092452176	0.428532674831917	"VA"	200	0.463	0.614864000266793	"VA-200"	71698.15
"43261"	2004	"cand113646"	"MCQUIGG, MICHELE B"	0.0585610656052591	0.790574385670997	"VA"	200	0.463	0.614864000266793	"VA-200"	42690.48
"43262"	2006	"cand113646"	"MCQUIGG, MICHELE B"	0.184051329719921	0.534551618814076	"VA"	200	0.463	0.614864000266793	"VA-200"	110431.15
"43263"	2002	"cand113691"	"WRIGHT JR, THOMAS C"	0.356910968374686	0.552717844218204	"VA"	200	0.842	0.906622357464642	"VA-200"	55630.12
"43264"	2004	"cand113691"	"WRIGHT JR, THOMAS C"	0.422480861392917	0.388684882056389	"VA"	200	0.842	0.906622357464642	"VA-200"	80335
"43265"	2006	"cand113691"	"WRIGHT JR, THOMAS C"	0.27193212343576	0.721516084649152	"VA"	200	0.842	0.906622357464642	"VA-200"	30526
"43266"	2008	"cand113691"	"WRIGHT JR, THOMAS C"	0.187319884726225	0.805475504322767	"VA"	200	0.842	0.906622357464642	"VA-200"	34700
"43267"	2010	"cand113691"	"WRIGHT JR, THOMAS C"	0.274	0.706	"VA"	200	0.842	0.906622357464642	"VA-200"	25000
"43268"	2012	"cand113691"	"WRIGHT JR, THOMAS C"	0.333230751476217	0.606662691619703	"VA"	200	0.842	0.906622357464642	"VA-200"	41592.8
"43269"	2002	"cand113692"	"SUIT, TERRIE L"	0.133351267221336	0.832702444773232	"VA"	200	0.581	0.566218063924553	"VA-200"	78064.5
"43270"	2004	"cand113692"	"SUIT, TERRIE L"	0.23398226662901	0.664064706444787	"VA"	200	0.581	0.566218063924553	"VA-200"	181145.48
