""	"ind.contributions"	"high.median.prof"	"year"	"group.contributions"
"788"	9770	1	2000	12150
"789"	2150	1	2002	8925
"790"	12500	1	2004	19539
"791"	11094	1	2006	21541.85
"792"	7315	1	1998	8200
"793"	12727.81	1	2000	3975
"794"	3972	1	2002	0
"795"	7561.57	1	2004	6450
"796"	12160	1	1998	7190
"797"	46894.02	1	2000	5625
"798"	18277	1	2002	311.86
"799"	17500.28	1	2004	4900
"800"	22755.43	1	2006	7250
"801"	11500	1	1998	0
"802"	125915.83	1	2000	0
"803"	25599.15	1	2002	0
"804"	14472.11	1	2004	0
"805"	10058.79	1	2006	0
"806"	15068.64	1	2008	100
"807"	5211	1	1998	4200
"808"	13365.9	1	2000	1750
"809"	2672.19	1	2002	0
"810"	23705	1	2004	7850
"811"	9176	1	2006	5400
"812"	2880	1	1998	1750
"813"	8711.62	1	2000	2050
"814"	1250	1	1998	7000
"815"	5071.21	1	2000	3150
"816"	6150	1	2002	0
"817"	6450	1	1998	2450
"818"	14702.15	1	2000	2600
"819"	10124.72	1	2002	0
"820"	35282	1	2004	3725
"821"	20093.79	1	2006	4200
"822"	11962.1	1	2008	7713
"823"	15174.43	1	2010	3500
"824"	3052.05	1	2012	284.21
"825"	8596	1	1998	10100
"826"	29358.5	1	2000	1650
"827"	8885	1	2002	0
"828"	16509.2	1	2004	3013
"829"	22901.4	1	2006	3200
"830"	13088	1	1998	8050
"831"	37263.02	1	2000	8010
"832"	16560	1	2002	0
"833"	27655	1	2004	7514.2
"834"	77788.48	1	2006	7125
"835"	36973	1	1998	7250
"836"	75140.6	1	2000	7750
"837"	99794.5	1	2002	6068.52
"838"	327612.24	1	2004	7500
"839"	6064	1	1998	8000
"840"	7897.17	1	2000	3450
"841"	3563.4	1	2002	0
"842"	7886.75	1	2004	5238.25
"843"	16841.73	1	2006	7570
"844"	6247	1	1998	8253.85
"845"	28469.36	1	2000	8590
"846"	26014.62	1	2002	6700
"847"	22660	1	1998	10900
"848"	28386.75	1	2000	5175
"849"	18363	1	2002	0
"850"	21379.26	1	2004	6200
"851"	51878.84	1	2006	9050
"852"	40571.34	1	2008	7950
"853"	36453.67	1	2010	7550
"854"	17616	1	1998	7400
"855"	38947.48	1	2000	6900
"856"	22634.56	1	2002	1600
"857"	29534	1	2004	8650
"858"	57478.08	1	2006	4145.54
"859"	300	1	1998	100
"860"	1240	1	1998	3400
"861"	21098.97	1	2000	1900
"862"	2527.24	1	2002	0
"863"	12677.75	1	2004	1440
"864"	18657.78	1	2006	2200
"865"	10359.44	1	2008	7252.54
"866"	21900	1	1998	7675
"867"	37440.99	1	2000	7750
"868"	37106.12	1	2002	5350
"869"	56155.05	1	2004	33425
